Category,Name,Type,Classification,Location,Date,Additional Notes
Technology,Type 076 "Sichuan",Amphibious Assault Ship/Light Aircraft Carrier,Naval Vessel,Sichuan launch (Hudong Shipyard),Dec 27 2024,Electromagnetic catapult/emergency arrestor; drone/manned aircraft capable :contentReference[oaicite:0]{index=0}
Technology,Type 075 "Hainan",Landing Helicopter Dock (LHD),Naval Vessel,South Sea Fleet (China),Commissioned Apr 23 2021,All-through deck, carries ~30 helicopters :contentReference[oaicite:1]{index=1}
Technology,Type 071 Yuzhao-class,Landing Platform Dock,Naval Vessel,China,Active service,Carries troops, LCACs, vehicles; humanitarian & assault roles :contentReference[oaicite:2]{index=2}
Technology,Type 052D Renhai-class,Guided-Missile Destroyer,Naval Vessel,Sea of Japan/East Sea,Aug 1–5 2025,Participated in Maritime Interaction–2025 exercise :contentReference[oaicite:3]{index=3}
Technology,Type 054A Jiangkai II-class,Frigate,Naval Vessel,Tasman Sea exercise,Early 2025,Part of PLAN exercise around Australia/New Zealand :contentReference[oaicite:4]{index=4}

Exercise,Maritime Interaction–2025,Joint Naval Exercise,Exercise,Sea of Japan/East Sea,Aug 1–5 2025,China–Russia; ASW, air defense, live-fire, SAR :contentReference[oaicite:5]{index=5}
Exercise,2025 Tasman Sea Exercises,Naval Exercise,Exercise,Tasman Sea/Australasia,Feb 21–Mar 9 2025,Unannounced live-fire; disrupted flights; circumnavigation of Australia :contentReference[oaicite:6]{index=6}
Exercise,Golden Dragon 2025,Joint Military Exercise,Exercise,Cambodia,May 14–28 2025,China–Cambodia; counterterrorism & disaster relief; Type 071 involved :contentReference[oaicite:7]{index=7}
Exercise,Joint Sea‑2025 (China–Russia),Naval Exercise,Exercise,Near Vladivostok/Russia,2025 (July/Aug),Submarine rescue, ASW, air and missile defense, live-fire naval drills :contentReference[oaicite:8]{index=8}
Exercise,China Coastguard–Navy Missile Exercise,Joint Missile Defense Exercise,Exercise,East China Sea/Taiwan Strait,Mar 19 2024,Coastguard & navy practice coordinated response to missile attack :contentReference[oaicite:9]{index=9}

People,Wei Huixiao,Captain of Type 052D destroyer Shaoxing,Navy Officer,China,Appointed Mar 2022,Notable as first female warship captain in PLAN :contentReference[oaicite:10]{index=10}
People,Shi Yi,Spokesman Eastern Theatre Command,Military Spokesperson,China,Sept 6‑7 2025,Declared PLA ready during Taiwan Strait escort mission :contentReference[oaicite:11]{index=11}
People,Song Zhongping,Military Expert/Commentator,Analyst,China,Dec 2024 (AP launch),Commented on Sichuan ship capabilities :contentReference[oaicite:12]{index=12}
People,Colonel Zhang Xiaogang,PLA Spokesperson,Military Spokesperson,China,2025 (Joint Sea‑2025),Commented exercises target no third party :contentReference[oaicite:13]{index=13}
People,FLTCAPT unknown (Xihu commander),Naval Commander (Xihu vessel),Navy Officer,Sea of Japan region,Aug 2025,Led submarine rescue vessel CNS Xihu deployment :contentReference[oaicite:14]{index=14}
